,Neighborhood,arts_culture_recreation,bars_nightlife,business_hub,café_fastfoods,cuisine_restaurants,education_colleges,kids_family_residential,nature_view,regular_restaurants,shopping,sports_fitness,stores_daily_conveniences,tourist_interest,transport_vicinity,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,Venue Mapping
0,Aarey Milk Colony,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19.1561292,72.8707223,Aarey Garden Restaurant,19.15551434258381,72.87823613224917,Indian Restaurant,regular_restaurants
1,Aarey Milk Colony,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19.1561292,72.8707223,Panchvati Fast Food Corner,19.15762809596761,72.87450648963448,Fast Food Restaurant,regular_restaurants
2,Aarey Milk Colony,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19.1561292,72.8707223,Chota Kashmir Boating,19.160905232933896,72.87248158416145,Lake,nature_view
3,Aarey Milk Colony,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19.1561292,72.8707223,Chota Kashmir,19.163541755486165,72.87348730854406,Monument / Landmark,tourist_interest
4,Abhyudaya Nagar,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18.9904774,72.84405709305909,Ladu Samrat,18.99452632795536,72.83657359834993,Indian Restaurant,regular_restaurants
5,Abhyudaya Nagar,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18.9904774,72.84405709305909,Lalbaug,18.991976392250358,72.83622079646518,Plaza,shopping
6,Abhyudaya Nagar,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18.9904774,72.84405709305909,7 Spice - Chinese Restaurant,18.995603027509095,72.83906022381811,Chinese Restaurant,regular_restaurants
7,Abhyudaya Nagar,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18.9904774,72.84405709305909,Cotton Green Railway Station,18.986664490743028,72.84320221222806,Train Station,transport_vicinity
8,Abhyudaya Nagar,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18.9904774,72.84405709305909,Euro RSCG,18.996625145751096,72.84099261589157,Office,business_hub
9,Abhyudaya Nagar,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18.9904774,72.84405709305909,Pixies & Pearls,18.99605621273714,72.83945075644364,Women's Store,stores_daily_conveniences
