Locality Name,buy_rate,buy_rate_trim,buy_rate_lower,buy_rate_higher,buy_rate_avg,Buy Rates Q/Q,Rent_1B,Rent_1B_trim,Rent_1B_Lower,Rent_1B_Upper,Rent_1B_avg,Rent_1B_persqf,Rent_2B,Rent_2B_trim,Rent_2B_Lower,Rent_2B_Upper,Rent_2B_avg,Rent_2B_persqf,Rent_3B,Rent_3B_trim,Rent_3B_Lower,Rent_3B_Upper,Rent_3B_avg,Rent_3B_persqf
4 Bunglows,"Rs.18,828 - 20,825/sq. ft.","18,828 - 20,825",18828,20825,19826.5,-1.48%,"Rs.24,225 - 31,025","24,225 - 31,025",24225,31025,27625,139%,"Rs.43,350 - 48,450","43,350 - 48,450",43350,48450,45900,232%,"Rs.53,780 - 59,755","53,780 - 59,755",53780,59755,56767.5,286%
Aarey Milk Colony,"Rs.7,225 - 7,862/sq. ft.","7,225 - 7,862",7225,7862,7543.5,4.71%,"Rs.16,371 - 20,464","16,371 - 20,464",16371,20464,18417.5,244%,"Rs.21,216 - 23,338","21,216 - 23,338",21216,23338,22277,295%,"Rs.23,899 - 29,330","23,899 - 29,330",23899,29330,26614.5,353%
Abhyudaya Nagar,"Rs.26,605 - 28,858/sq. ft.","26,605 - 28,858",26605,28858,27731.5,,,,,,,,"Rs.63,954 - 68,395","63,954 - 68,395",63954,68395,66174.5,239%,,,,,,
Adaigaon,"Rs.4,462 - 4,802/sq. ft.","4,462 - 4,802",4462,4802,4632,7.92%,,,,,,,,,,,,,,,,,,
Adharwadi,"Rs.4,675 - 5,398/sq. ft.","4,675 - 5,398",4675,5398,5036.5,-7.26%,"Rs.5,142 - 6,078","5,142 - 6,078",5142,6078,5610,111%,"Rs.7,268 - 8,882","7,268 - 8,882",7268,8882,8075,160%,,,,,,
Agashi,"Rs.3,698 - 4,760/sq. ft.","3,698 - 4,760",3698,4760,4229,,,,,,,,,,,,,,,,,,,
Airoli,"Rs.9,775 - 11,348/sq. ft.","9,775 - 11,348",9775,11348,10561.5,2.48%,"Rs.13,090 - 15,428","13,090 - 15,428",13090,15428,14259,135%,"Rs.20,655 - 24,480","20,655 - 24,480",20655,24480,22567.5,214%,"Rs.30,559 - 34,925","30,559 - 34,925",30559,34925,32742,310%
Akurli Nagar,"Rs.17,510 - 19,678/sq. ft.","17,510 - 19,678",17510,19678,18594,1.14%,,,,,,,,,,,,,,,,,,
Alika Nagar,"Rs.13,558 - 15,342/sq. ft.","13,558 - 15,342",13558,15342,14450,3.95%,,,,,,,,,,,,,,,,,,
Ambawadi,"Rs.3,825 - 4,930/sq. ft.","3,825 - 4,930",3825,4930,4377.5,,,,,,,,,,,,,,,,,,,
Ambedkar Nagar,"Rs.15,470 - 17,000/sq. ft.","15,470 - 17,000",15470,17000,16235,3.87%,"Rs.23,990 - 26,489","23,990 - 26,489",23990,26489,25239.5,155%,"Rs.36,550 - 40,800","36,550 - 40,800",36550,40800,38675,238%,"Rs.52,190 - 60,018","52,190 - 60,018",52190,60018,56104,346%
Ambernath,"Rs.3,358 - 3,910/sq. ft.","3,358 - 3,910",3358,3910,3634,-2.3%,"Rs.4,141 - 5,176","4,141 - 5,176",4141,5176,4658.5,128%,"Rs.5,868 - 7,336","5,868 - 7,336",5868,7336,6602,182%,,,,,,
Ambernath East,"Rs.3,400 - 4,165/sq. ft.","3,400 - 4,165",3400,4165,3782.5,-1.14%,,,,,,,"Rs.6,351 - 8,733","6,351 - 8,733",6351,8733,7542,199%,,,,,,
Ambernath West,"Rs.3,400 - 4,122/sq. ft.","3,400 - 4,122",3400,4122,3761,0%,"Rs.4,114 - 5,142","4,114 - 5,142",4114,5142,4628,123%,"Rs.6,502 - 7,225","6,502 - 7,225",6502,7225,6863.5,182%,,,,,,
Ambivali,"Rs.17,638 - 20,018/sq. ft.","17,638 - 20,018",17638,20018,18828,,,,,,,,,,,,,,,,,,,
Ambivli,"Rs.3,782 - 4,590/sq. ft.","3,782 - 4,590",3782,4590,4186,-3.03%,"Rs.2,601 - 3,468","2,601 - 3,468",2601,3468,3034.5,72%,,,,,,,,,,,,
Amboli,"Rs.18,572 - 22,312/sq. ft.","18,572 - 22,312",18572,22312,20442,3.52%,"Rs.21,038 - 22,185","21,038 - 22,185",21038,22185,21611.5,106%,"Rs.36,902 - 43,680","36,902 - 43,680",36902,43680,40291,197%,,,,,,
Amrut Nagar,"Rs.15,002 - 16,915/sq. ft.","15,002 - 16,915",15002,16915,15958.5,,"Rs.22,908 - 26,180","22,908 - 26,180",22908,26180,24544,154%,,,,,,,,,,,,
Anand Nagar,"Rs.8,160 - 9,095/sq. ft.","8,160 - 9,095",8160,9095,8627.5,1%,"Rs.10,811 - 11,751","10,811 - 11,751",10811,11751,11281,131%,"Rs.17,000 - 18,700","17,000 - 18,700",17000,18700,17850,207%,,,,,,
Anand Nagar,"Rs.5,100 - 5,950/sq. ft.","5,100 - 5,950",5100,5950,5525,,,,,,,,,,,,,,,,,,,
Anand Nagar,"Rs.28,305 - 29,920/sq. ft.","28,305 - 29,920",28305,29920,29112.5,3.57%,,,,,,,"Rs.43,605 - 45,220","43,605 - 45,220",43605,45220,44412.5,153%,"Rs.96,968 - 1,05,453","96,968 - 1,05,453",96968,105453,101210.5,348%
