index,Locality Name,buy_rate,buy_rate_trim,buy_rate_lower,buy_rate_higher,buy_rate_avg,Buy Rates Q/Q,Rent_1B,Rent_1B_trim,Rent_1B_Lower,Rent_1B_Upper,Rent_1B_avg,Rent_1B_persqf,Rent_2B,Rent_2B_trim,Rent_2B_Lower,Rent_2B_Upper,Rent_2B_avg,Rent_2B_persqf,Rent_3B,Rent_3B_trim,Rent_3B_Lower,Rent_3B_Upper,Rent_3B_avg,Rent_3B_persqf,Latitude,Longitude
0,4 Bunglows,"Rs.18,828 - 20,825/sq. ft.","18,828 - 20,825",18828.0,20825.0,19826.5,-1.48%,"Rs.24,225 - 31,025","24,225 - 31,025",24225.0,31025.0,27625.0,139%,"Rs.43,350 - 48,450","43,350 - 48,450",43350.0,48450.0,45900.0,232%,"Rs.53,780 - 59,755","53,780 - 59,755",53780.0,59755.0,56767.5,286%,,
1,Aarey Milk Colony,"Rs.7,225 - 7,862/sq. ft.","7,225 - 7,862",7225.0,7862.0,7543.5,4.71%,"Rs.16,371 - 20,464","16,371 - 20,464",16371.0,20464.0,18417.5,244%,"Rs.21,216 - 23,338","21,216 - 23,338",21216.0,23338.0,22277.0,295%,"Rs.23,899 - 29,330","23,899 - 29,330",23899.0,29330.0,26614.5,353%,19.1561292,72.8707223
2,Abhyudaya Nagar,"Rs.26,605 - 28,858/sq. ft.","26,605 - 28,858",26605.0,28858.0,27731.5,,,,,,,,"Rs.63,954 - 68,395","63,954 - 68,395",63954.0,68395.0,66174.5,239%,,,,,,,18.9904774,72.8440570930591
3,Adaigaon,"Rs.4,462 - 4,802/sq. ft.","4,462 - 4,802",4462.0,4802.0,4632.0,7.92%,,,,,,,,,,,,,,,,,,,,
4,Adharwadi,"Rs.4,675 - 5,398/sq. ft.","4,675 - 5,398",4675.0,5398.0,5036.5,-7.26%,"Rs.5,142 - 6,078","5,142 - 6,078",5142.0,6078.0,5610.0,111%,"Rs.7,268 - 8,882","7,268 - 8,882",7268.0,8882.0,8075.0,160%,,,,,,,,
5,Agashi,"Rs.3,698 - 4,760/sq. ft.","3,698 - 4,760",3698.0,4760.0,4229.0,,,,,,,,,,,,,,,,,,,,,
6,Airoli,"Rs.9,775 - 11,348/sq. ft.","9,775 - 11,348",9775.0,11348.0,10561.5,2.48%,"Rs.13,090 - 15,428","13,090 - 15,428",13090.0,15428.0,14259.0,135%,"Rs.20,655 - 24,480","20,655 - 24,480",20655.0,24480.0,22567.5,214%,"Rs.30,559 - 34,925","30,559 - 34,925",30559.0,34925.0,32742.0,310%,19.1585147,72.9994018533116
7,Akurli Nagar,"Rs.17,510 - 19,678/sq. ft.","17,510 - 19,678",17510.0,19678.0,18594.0,1.14%,,,,,,,,,,,,,,,,,,,,
8,Alika Nagar,"Rs.13,558 - 15,342/sq. ft.","13,558 - 15,342",13558.0,15342.0,14450.0,3.95%,,,,,,,,,,,,,,,,,,,19.1983965,72.8742672
9,Ambawadi,"Rs.3,825 - 4,930/sq. ft.","3,825 - 4,930",3825.0,4930.0,4377.5,,,,,,,,,,,,,,,,,,,,,
10,Ambedkar Nagar,"Rs.15,470 - 17,000/sq. ft.","15,470 - 17,000",15470.0,17000.0,16235.0,3.87%,"Rs.23,990 - 26,489","23,990 - 26,489",23990.0,26489.0,25239.5,155%,"Rs.36,550 - 40,800","36,550 - 40,800",36550.0,40800.0,38675.0,238%,"Rs.52,190 - 60,018","52,190 - 60,018",52190.0,60018.0,56104.0,346%,19.0708218,72.8288647
11,Ambernath,"Rs.3,358 - 3,910/sq. ft.","3,358 - 3,910",3358.0,3910.0,3634.0,-2.3%,"Rs.4,141 - 5,176","4,141 - 5,176",4141.0,5176.0,4658.5,128%,"Rs.5,868 - 7,336","5,868 - 7,336",5868.0,7336.0,6602.0,182%,,,,,,,,
12,Ambernath East,"Rs.3,400 - 4,165/sq. ft.","3,400 - 4,165",3400.0,4165.0,3782.5,-1.14%,,,,,,,"Rs.6,351 - 8,733","6,351 - 8,733",6351.0,8733.0,7542.0,199%,,,,,,,,
13,Ambernath West,"Rs.3,400 - 4,122/sq. ft.","3,400 - 4,122",3400.0,4122.0,3761.0,0%,"Rs.4,114 - 5,142","4,114 - 5,142",4114.0,5142.0,4628.0,123%,"Rs.6,502 - 7,225","6,502 - 7,225",6502.0,7225.0,6863.5,182%,,,,,,,,
14,Ambivali,"Rs.17,638 - 20,018/sq. ft.","17,638 - 20,018",17638.0,20018.0,18828.0,,,,,,,,,,,,,,,,,,,,,
15,Ambivli,"Rs.3,782 - 4,590/sq. ft.","3,782 - 4,590",3782.0,4590.0,4186.0,-3.03%,"Rs.2,601 - 3,468","2,601 - 3,468",2601.0,3468.0,3034.5,72%,,,,,,,,,,,,,,
16,Amboli,"Rs.18,572 - 22,312/sq. ft.","18,572 - 22,312",18572.0,22312.0,20442.0,3.52%,"Rs.21,038 - 22,185","21,038 - 22,185",21038.0,22185.0,21611.5,106%,"Rs.36,902 - 43,680","36,902 - 43,680",36902.0,43680.0,40291.0,197%,,,,,,,19.13201,72.8498644
17,Amrut Nagar,"Rs.15,002 - 16,915/sq. ft.","15,002 - 16,915",15002.0,16915.0,15958.5,,"Rs.22,908 - 26,180","22,908 - 26,180",22908.0,26180.0,24544.0,154%,,,,,,,,,,,,,19.1008449,72.9118196
18,Anand Nagar,"Rs.8,160 - 9,095/sq. ft.","8,160 - 9,095",8160.0,9095.0,8627.5,1%,"Rs.10,811 - 11,751","10,811 - 11,751",10811.0,11751.0,11281.0,131%,"Rs.17,000 - 18,700","17,000 - 18,700",17000.0,18700.0,17850.0,207%,,,,,,,18.9665234,72.8118877
19,Anand Nagar,"Rs.5,100 - 5,950/sq. ft.","5,100 - 5,950",5100.0,5950.0,5525.0,,,,,,,,,,,,,,,,,,,,18.9665234,72.8118877
20,Anand Nagar,"Rs.28,305 - 29,920/sq. ft.","28,305 - 29,920",28305.0,29920.0,29112.5,3.57%,,,,,,,"Rs.43,605 - 45,220","43,605 - 45,220",43605.0,45220.0,44412.5,153%,"Rs.96,968 - 1,05,453","96,968 - 1,05,453",96968.0,105453.0,101210.5,348%,18.9665234,72.8118877
21,Andheri (East),"Rs.15,470 - 18,148/sq. ft.","15,470 - 18,148",15470.0,18148.0,16809.0,4.5%,"Rs.23,842 - 27,115","23,842 - 27,115",23842.0,27115.0,25478.5,152%,"Rs.36,832 - 42,437","36,832 - 42,437",36832.0,42437.0,39634.5,236%,"Rs.50,517 - 59,303","50,517 - 59,303",50517.0,59303.0,54910.0,327%,19.1158835,72.854202
22,Andheri (West),"Rs.18,785 - 23,332/sq. ft.","18,785 - 23,332",18785.0,23332.0,21058.5,,"Rs.22,440 - 28,985","22,440 - 28,985",22440.0,28985.0,25712.5,122%,"Rs.36,834 - 46,238","36,834 - 46,238",36834.0,46238.0,41536.0,197%,"Rs.58,393 - 73,885","58,393 - 73,885",58393.0,73885.0,66139.0,314%,19.1172495,72.833968
23,Anjurdive,"Rs.6,885 - 7,438/sq. ft.","6,885 - 7,438",6885.0,7438.0,7161.5,12.08%,,,,,,,,,,,,,,,,,,,,
24,Asangaon,"Rs.2,720 - 3,315/sq. ft.","2,720 - 3,315",2720.0,3315.0,3017.5,-1.43%,,,,,,,,,,,,,,,,,,,19.4399615,73.3081462
25,Asara Colony,"Rs.14,280 - 16,362/sq. ft.","14,280 - 16,362",14280.0,16362.0,15321.0,,,,,,,,,,,,,,,,,,,,,
